# NTRMN  = 59
# NTRANS = 111
-1.196487247943878174e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-9.923987835645675659e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.883103936910629272e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.842219665646553040e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.801335394382476807e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.760451123118400574e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.321236208081245422e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.362120479345321655e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.403004378080368042e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.048477292060852051e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.252557635307312012e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.456646025180816650e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.660734415054321289e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.068911343812942505e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.272991687059402466e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.477080076932907104e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.681168317794799805e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.885257005691528320e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.089345395565032959e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.293433785438537598e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.905690908432006836e-01 1.715589721679687500e+03 1.715589721679687500e+03 0.000000000000000000e+00
4.109779298305511475e-01 1.636802246093750000e+03 1.636802246093750000e+03 0.000000000000000000e+00
4.313867688179016113e-01 1.506091674804687500e+03 1.506091674804687500e+03 0.000000000000000000e+00
4.517956078052520752e-01 1.398847412109375000e+03 1.398847412109375000e+03 0.000000000000000000e+00
4.722036421298980713e-01 1.318112304687500000e+03 1.318112304687500000e+03 0.000000000000000000e+00
4.926124811172485352e-01 1.254755859375000000e+03 1.254755859375000000e+03 0.000000000000000000e+00
5.130213499069213867e-01 1.196440185546875000e+03 1.196440185546875000e+03 0.000000000000000000e+00
5.334301590919494629e-01 1.138547851562500000e+03 1.138547851562500000e+03 0.000000000000000000e+00
5.538390278816223145e-01 1.081031982421875000e+03 1.081031982421875000e+03 0.000000000000000000e+00
5.742470622062683105e-01 1.025938354492187500e+03 1.025938354492187500e+03 0.000000000000000000e+00
5.946558713912963867e-01 9.754299926757812500e+02 9.754299926757812500e+02 0.000000000000000000e+00
6.150647401809692383e-01 9.302196655273437500e+02 9.302196655273437500e+02 0.000000000000000000e+00
6.354735493659973145e-01 8.901734008789062500e+02 8.901734008789062500e+02 0.000000000000000000e+00
6.558824181556701660e-01 8.544445190429687500e+02 8.544445190429687500e+02 0.000000000000000000e+00
6.762912869453430176e-01 8.219338378906250000e+02 8.219338378906250000e+02 0.000000000000000000e+00
6.966992616653442383e-01 7.927031860351562500e+02 7.927031860351562500e+02 0.000000000000000000e+00
7.171081304550170898e-01 7.661370239257812500e+02 7.661370239257812500e+02 0.000000000000000000e+00
7.375169992446899414e-01 7.429886474609375000e+02 7.429886474609375000e+02 0.000000000000000000e+00
7.579258084297180176e-01 7.226661987304687500e+02 7.226661987304687500e+02 0.000000000000000000e+00
7.783346772193908691e-01 7.058699951171875000e+02 7.058699951171875000e+02 0.000000000000000000e+00
7.987434864044189453e-01 6.923298339843750000e+02 6.923298339843750000e+02 0.000000000000000000e+00
8.191515207290649414e-01 6.809262695312500000e+02 6.809262695312500000e+02 0.000000000000000000e+00
8.395603895187377930e-01 6.715021362304687500e+02 6.715021362304687500e+02 0.000000000000000000e+00
8.599691987037658691e-01 6.633603515625000000e+02 6.633603515625000000e+02 0.000000000000000000e+00
8.803780674934387207e-01 6.561400146484375000e+02 6.561400146484375000e+02 0.000000000000000000e+00
9.007868766784667969e-01 6.497782592773437500e+02 6.497782592773437500e+02 0.000000000000000000e+00
9.211949110031127930e-01 6.439588623046875000e+02 6.439588623046875000e+02 0.000000000000000000e+00
9.416037797927856445e-01 6.394082641601562500e+02 6.394082641601562500e+02 0.000000000000000000e+00
9.620125889778137207e-01 6.360459594726562500e+02 6.360459594726562500e+02 0.000000000000000000e+00
9.824214577674865723e-01 6.345291137695312500e+02 6.345291137695312500e+02 0.000000000000000000e+00
1.002830266952514648e+00 6.345062866210937500e+02 6.345062866210937500e+02 0.000000000000000000e+00
1.023239135742187500e+00 6.363560180664062500e+02 6.363560180664062500e+02 0.000000000000000000e+00
1.043647170066833496e+00 6.397395629882812500e+02 6.397395629882812500e+02 0.000000000000000000e+00
1.064056038856506348e+00 6.447926635742187500e+02 6.447926635742187500e+02 0.000000000000000000e+00
1.084464907646179199e+00 6.514215698242187500e+02 6.514215698242187500e+02 0.000000000000000000e+00
1.104873657226562500e+00 6.595388793945312500e+02 6.595388793945312500e+02 0.000000000000000000e+00
1.125282526016235352e+00 6.703401489257812500e+02 6.703401489257812500e+02 0.000000000000000000e+00
1.145691394805908203e+00 6.857713623046875000e+02 6.857713623046875000e+02 0.000000000000000000e+00
1.166099429130554199e+00 7.162651367187500000e+02 7.162651367187500000e+02 0.000000000000000000e+00
1.186508297920227051e+00 7.039448242187500000e+02 7.039448242187500000e+02 0.000000000000000000e+00
1.206917047500610352e+00 7.069173583984375000e+02 7.069173583984375000e+02 0.000000000000000000e+00
1.227325916290283203e+00 6.571272583007812500e+02 6.571272583007812500e+02 0.000000000000000000e+00
1.247734785079956055e+00 7.300300903320312500e+02 7.300300903320312500e+02 0.000000000000000000e+00
1.268142819404602051e+00 7.543375244140625000e+02 7.543375244140625000e+02 0.000000000000000000e+00
1.288551688194274902e+00 7.832622070312500000e+02 7.832622070312500000e+02 0.000000000000000000e+00
1.308960556983947754e+00 7.436168212890625000e+02 7.436168212890625000e+02 0.000000000000000000e+00
1.329369306564331055e+00 5.793137207031250000e+02 5.793137207031250000e+02 0.000000000000000000e+00
1.349778175354003906e+00 5.647016601562500000e+02 5.647016601562500000e+02 0.000000000000000000e+00
1.411003947257995605e+00 6.386622314453125000e+02 6.372440795898437500e+02 1.418133139610290527e+00
1.431412696838378906e+00 6.462268676757812500e+02 6.448823852539062500e+02 1.344511032104492188e+00
